From Index,From X,From Y,From Z,To Index,To X,To Y,To Z,Weight,Tree,Descendants,Width
0,-10,-10,-10,117,6.321510128165353,17.899719051419826,113.84882546611111,127.9973342900047,A,199,12.633203744065543
117,6.321510128165353,17.899719051419826,113.84882546611111,33,28.84672636072756,129.12104172938365,162.58062610826084,123.50043068097237,A,198,12.50499192406565
33,28.84672636072756,129.12104172938365,162.58062610826084,191,48.609203667407044,126.53727585390982,63.83417887605243,100.73773968270088,A,197,11.869013042163264
191,48.609203667407044,126.53727585390982,63.83417887605243,142,108.27013668005708,158.76546857002558,91.45102586205749,73.21730376854524,A,196,10.945042462970294
142,108.27013668005708,158.76546857002558,91.45102586205749,138,186.62360032301848,141.9413485022746,146.9561981937374,97.48405221610591,A,195,11.741999194518584
142,108.27013668005708,158.76546857002558,91.45102586205749,59,149.923224800381,189.828406305951,4.405135940413141,101.37491209858815,A,195,11.857449276180782
59,149.923224800381,189.828406305951,4.405135940413141,68,138.29394226169032,270.1272975669688,1.4261443573656107,81.19129596801204,A,140,10.325459256226333
68,138.29394226169032,270.1272975669688,1.4261443573656107,171,152.67008652496102,312.1010602910034,45.15799303217229,62.29723003158422,A,139,9.646524779767518
171,152.67008652496102,312.1010602910034,45.15799303217229,123,215.28824400648435,366.4005252750155,42.745800493613984,82.91733363280497,A,138,10.342632743980829
123,215.28824400648435,366.4005252750155,42.745800493613984,7,199.6905188949566,390.69151367469044,55.661175706659826,31.62511759632972,A,137,8.113125220412165
7,199.6905188949566,390.69151367469044,55.661175706659826,122,184.64688159331385,389.54487365295427,59.20141559111014,15.497067627208606,A,135,6.763100236439341
123,215.28824400648435,366.4005252750155,42.745800493613984,10,237.1623146228607,310.1742654211554,46.6549048327622,60.45782297782787,A,137,9.53988782229449
122,184.64688159331385,389.54487365295427,59.20141559111014,52,163.38284892438213,484.79198261919845,85.54064845198495,101.08375754527717,A,134,10.788139259533395
52,163.38284892438213,484.79198261919845,85.54064845198495,41,115.49581828556921,549.7948192192415,117.49286672397486,86.8301832426685,A,133,10.366462706022654
41,115.49581828556921,549.7948192192415,117.49286672397486,77,88.0527389055079,504.9405190490349,141.40650681440104,57.765846587700786,A,132,9.344611888025705
77,88.0527389055079,504.9405190490349,141.40650681440104,151,92.04660148842123,448.11640028572566,176.5651286574229,66.94072080175474,A,124,9.545045817296936
41,115.49581828556921,549.7948192192415,117.49286672397486,81,53.13329357347063,539.5095456739892,79.06171510470715,73.97178350662445,A,132,9.940540642448923
81,53.13329357347063,539.5095456739892,79.06171510470715,153,3.4198777283559467,597.2302653730161,68.35289896415146,76.92713396906942,A,6,4.635084977576383
81,53.13329357347063,539.5095456739892,79.06171510470715,111,51.21248853130791,448.18308961262056,65.0050210143173,92.42186817788257,A,6,4.852678264983415
111,51.21248853130791,448.18308961262056,65.0050210143173,19,4.998483327308478,444.7097255080497,20.00851476811971,64.59476843802683,A,4,4.009261044567286
19,4.998483327308478,444.7097255080497,20.00851476811971,21,11.817310838736628,381.2742343886771,17.537395960340763,63.848761697849476,A,3,3.720218374029586
21,11.817310838736628,381.2742343886771,17.537395960340763,56,10.921311855713522,360.30469735872856,52.21542229763321,40.53504419731043,A,2,3.0006487561442516
56,10.921311855713522,360.30469735872856,52.21542229763321,136,45.79229888515046,276.2176850934894,84.40303139611083,96.55388934464543,A,1,3.1346744431901206
77,88.0527389055079,504.9405190490349,141.40650681440104,96,7.219621467638615,507.27934726785173,195.7554472538624,97.43341479725329,A,124,10.484130115918251
96,7.219621467638615,507.27934726785173,195.7554472538624,127,28.487526947436457,529.3818026769583,283.3919819188915,92.8493648158349,A,4,4.389951600051251
127,28.487526947436457,529.3818026769583,283.3919819188915,114,55.55619216426062,472.31603929218124,339.5815683430098,84.53687721829644,A,3,3.9906336832688827
151,92.04660148842123,448.11640028572566,176.5651286574229,103,141.0127623861501,365.1206518564314,210.1706362048102,102.05542272666592,A,118,10.475614866542927
103,141.0127623861501,365.1206518564314,210.1706362048102,157,212.53205796730128,374.32348945260696,212.24228609462347,72.13871078354269,A,117,9.584921482609039
157,212.53205796730128,374.32348945260696,212.24228609462347,118,254.39915348619212,394.85359542743265,215.08405620864787,46.71632044485594,A,116,8.579888707233287
118,254.39915348619212,394.85359542743265,215.08405620864787,82,276.08406140748815,359.08946587164087,223.48167214532603,42.659443829690254,A,115,8.369090368614742
82,276.08406140748815,359.08946587164087,223.48167214532603,95,233.64376450603427,356.0535133441107,285.03554153630444,74.82830110215386,A,114,9.610426998286039
95,233.64376450603427,356.0535133441107,285.03554153630444,2,230.3850469264256,292.66867629209264,286.2317803334582,63.47982195654259,A,113,9.202981221809312
2,230.3850469264256,292.66867629209264,286.2317803334582,178,287.07334995862396,228.28158521035022,301.0973198049168,87.06460510687705,A,112,9.937220218300721
178,287.07334995862396,228.28158521035022,301.0973198049168,39,324.24641685881375,168.27342271703745,311.4088069029361,71.33823122816005,A,111,9.43324966820135
39,324.24641685881375,168.27342271703745,311.4088069029361,93,371.9169085115699,139.29249056844685,318.38958197448545,56.2236731565652,A,110,8.86804677334068
93,371.9169085115699,139.29249056844685,318.38958197448545,177,404.8360055296684,184.9235808376808,252.54051691248486,86.61387139012749,A,109,9.85719815714533
177,404.8360055296684,184.9235808376808,252.54051691248486,162,385.2459690620567,136.00985108281316,225.33577209106141,59.299415074124845,A,108,8.9457867504638
177,404.8360055296684,184.9235808376808,252.54051691248486,57,426.5924232596646,277.7207282729526,275.10441587884634,97.94785256007322,A,108,10.14155776252208
57,426.5924232596646,277.7207282729526,275.10441587884634,45,466.38371195096533,339.7202404538036,272.2631481384499,73.72488703789615,A,106,9.402211044821225
45,466.38371195096533,339.7202404538036,272.2631481384499,50,491.08909099233153,341.799024805264,236.91938991011222,43.17242573287537,A,78,7.617724524193627
45,466.38371195096533,339.7202404538036,272.2631481384499,80,441.6816141632962,329.48533135309066,334.125446831907,67.39355309708736,A,78,8.514874260340283
80,441.6816141632962,329.48533135309066,334.125446831907,146,389.0559323693239,340.74147619596346,298.9154931780485,64.31099452901522,A,76,8.36131729813421
146,389.0559323693239,340.74147619596346,298.9154931780485,1,397.95546248636464,401.8417294350219,269.8801746646092,68.23116812247943,A,54,7.79101681341454
1,397.95546248636464,401.8417294350219,269.8801746646092,186,403.4805560927002,405.7564876619871,190.94417385629708,79.2259062109372,A,53,8.049812621905103
186,403.4805560927002,405.7564876619871,190.94417385629708,172,394.7979264056467,443.0777478899923,164.96471284596484,46.294674830658,A,2,3.1019890356618287
172,394.7979264056467,443.0777478899923,164.96471284596484,83,326.88648582498524,434.9455983946927,140.7188936893833,72.56690267421003,A,1,2.9186676647654144
1,397.95546248636464,401.8417294350219,269.8801746646092,71,438.4955828935083,465.5806127459237,244.62585126259137,79.64877562674879,A,53,8.06053268647506
71,438.4955828935083,465.5806127459237,244.62585126259137,29,481.25071559668913,446.1586698864419,211.33748775445858,57.56151823877795,A,49,7.287558937356602
71,438.4955828935083,465.5806127459237,244.62585126259137,8,396.20305338658585,526.6312753079914,263.35597808404316,76.59411923972377,A,49,7.8270458277902515
8,396.20305338658585,526.6312753079914,263.35597808404316,79,437.56796075682945,581.4945458759596,293.9142634685494,75.1986889832785,A,1,2.9447780500874883
80,441.6816141632962,329.48533135309066,334.125446831907,189,388.63226531971986,378.14668792553925,375.92579417657396,83.24319836679298,A,76,8.918474761671742
189,388.63226531971986,378.14668792553925,375.92579417657396,141,409.975719664244,375.49924109581167,403.99008277942846,35.35754958785084,A,18,5.022716503861159
141,409.975719664244,375.49924109581167,403.99008277942846,55,394.3761159908437,381.75078692571844,414.8816784461785,20.02639049351027,A,17,4.295491860136383
55,394.3761159908437,381.75078692571844,414.8816784461785,164,384.5101551956196,376.92399574917584,456.88191660086414,43.4126145322435,A,16,5.133741315478488
164,384.5101551956196,376.92399574917584,456.88191660086414,181,414.61257084237394,390.9095682756488,475.408741217352,38.01308849637577,A,9,4.300747212570749
181,414.61257084237394,390.9095682756488,475.408741217352,185,407.82394395449273,356.93909341747343,495.52093999629864,40.057198564510855,A,8,4.230996246607266
55,394.3761159908437,381.75078692571844,414.8816784461785,72,350.28579204195347,400.50524676271834,417.97657152337246,48.01317311795782,A,16,5.264657197940868
72,350.28579204195347,400.50524676271834,417.97657152337246,108,295.7398075376817,432.5420577082731,401.17375363029925,65.45193939257454,A,5,4.253271744474123
108,295.7398075376817,432.5420577082731,401.17375363029925,9,249.85931966610377,416.5157115869876,385.2943340523229,51.127476991014056,A,4,3.7816261139513103
108,295.7398075376817,432.5420577082731,401.17375363029925,32,313.42185321875525,412.1209205666975,328.8871753915213,77.16882126282334,A,4,4.191557849949862
108,295.7398075376817,432.5420577082731,401.17375363029925,166,326.6627552725162,504.30567795427794,397.8053841567452,78.21503564107398,A,4,4.20569292346619
166,326.6627552725162,504.30567795427794,397.8053841567452,23,339.07227149991354,509.5427773072633,373.9251882587201,27.41691191143039,A,1,2.2882561284589213
181,414.61257084237394,390.9095682756488,475.408741217352,66,411.2632135127093,469.63738257290237,447.1116206617884,83.72582618452161,A,8,5.087300097065937
185,407.82394395449273,356.93909341747343,495.52093999629864,148,496.62485863152745,348.41301436301416,492.2692676317832,89.26852661877557,A,1,3.073792819239822
29,481.25071559668913,446.1586698864419,211.33748775445858,158,506.10103869193097,528.7355986995914,187.92522686481612,89.35671038100357,A,46,8.007026225182237
158,506.10103869193097,528.7355986995914,187.92522686481612,84,445.000593181451,525.6723044079324,150.80612396861014,71.55750144684741,A,45,7.5329818397054735
84,445.000593181451,525.6723044079324,150.80612396861014,85,431.2788336226334,515.6296871282397,83.29090763142877,69.62359717992734,A,8,4.858045870886545
85,431.2788336226334,515.6296871282397,83.29090763142877,88,463.48006193475794,567.9048716564037,68.85092203530911,63.0723965477713,A,7,4.583891646499035
88,463.48006193475794,567.9048716564037,68.85092203530911,34,421.0875635075973,593.3045875468879,65.18414860821737,49.55516842449193,A,1,2.6532137488612797
158,506.10103869193097,528.7355986995914,187.92522686481612,90,562.8165063751346,512.3927480539008,228.8918501500861,71.84704075429335,A,45,7.5405903804710555
85,431.2788336226334,515.6296871282397,83.29090763142877,61,400.50825363016924,526.4834443695336,13.513356407239051,77.02947029656893,A,7,4.818798182310616
61,400.50825363016924,526.4834443695336,13.513356407239051,134,324.71668423055195,567.1995615369192,6.631368609389687,86.31063633930076,A,4,4.310534024388234
90,562.8165063751346,512.3927480539008,228.8918501500861,161,595.9824462797379,579.3049213627327,278.1036094393465,89.4372168563569,A,35,7.479913578502788
161,595.9824462797379,579.3049213627327,278.1036094393465,150,552.1080537314629,523.2638768685978,317.3868792548381,81.2941343324994,A,34,7.250776724441597
150,552.1080537314629,523.2638768685978,317.3868792548381,163,549.7359128793477,479.6447968656181,334.0109772786737,46.73983127520583,A,33,6.266864000904218
163,549.7359128793477,479.6447968656181,334.0109772786737,152,587.9924457662763,436.7212369967829,343.85615601538404,58.334568179595756,A,32,6.573081110496172
163,549.7359128793477,479.6447968656181,334.0109772786737,62,491.43855747558086,491.0438691366179,333.09803926348343,59.40836600624658,A,32,6.60312314091998
62,491.43855747558086,491.0438691366179,333.09803926348343,106,482.337438951808,473.3684060658868,374.7125377476625,46.11961445240283,A,3,3.429665230897106
152,587.9924457662763,436.7212369967829,343.85615601538404,35,542.991547335936,404.16986897569933,310.46090871945825,64.80675089477843,A,27,6.467642454883819
35,542.991547335936,404.16986897569933,310.46090871945825,28,579.9643251448913,369.79844074079676,295.72185824129286,52.589171763922444,A,26,6.08089381453506
35,542.991547335936,404.16986897569933,310.46090871945825,87,512.5202122310332,384.8474419766288,355.236188279684,57.50377472745651,A,26,6.218239218146671
87,512.5202122310332,384.8474419766288,355.236188279684,73,566.9708371538023,383.5378133094964,403.7709530112272,72.95347194803082,A,15,5.751542140033199
28,579.9643251448913,369.79844074079676,295.72185824129286,13,549.8494194833629,288.86185693780146,316.0289932779559,88.7131212059372,A,9,5.315664863638297
13,549.8494194833629,288.86185693780146,316.0289932779559,128,560.8131382390832,269.6944931140319,299.27858168146577,27.715830378307526,A,8,3.8588195527602815
128,560.8131382390832,269.6944931140319,299.27858168146577,100,597.0492166033332,272.84738179549015,241.39645549023857,68.36179206746183,A,7,4.6771130761801585
128,560.8131382390832,269.6944931140319,299.27858168146577,194,510.33418607135724,214.5968750963862,268.15296781494425,80.94860073983833,A,7,4.878955382002597
194,510.33418607135724,214.5968750963862,268.15296781494425,36,564.5153166224121,181.2229575761951,303.57931493658253,72.83158208372093,A,5,4.3684003888200635
36,564.5153166224121,181.2229575761951,303.57931493658253,155,576.0822125723573,120.1091741961749,278.6156807008949,67.02141922691646,A,4,4.046396187929461
155,576.0822125723573,120.1091741961749,278.6156807008949,160,591.4999487649405,98.7388887522194,293.2917673021956,30.16261273810848,A,3,3.084235653201633
155,576.0822125723573,120.1091741961749,278.6156807008949,137,574.0718055044528,118.1857324702358,228.1539308581068,50.538396906192936,A,3,3.5090186718011207
61,400.50825363016924,526.4834443695336,13.513356407239051,3,462.1055898024391,457.5536859757594,6.388400344612877,92.7162791242081,A,4,4.388377668873768
66,411.2632135127093,469.63738257290237,447.1116206617884,64,448.7678766686074,554.5731471392078,431.52578719301147,94.14670501837381,A,5,4.657938845434142
64,448.7678766686074,554.5731471392078,431.52578719301147,167,434.74977200877083,570.1665421699095,514.9587750955502,86.02746478411892,A,4,4.306994121009825
57,426.5924232596646,277.7207282729526,275.10441587884634,173,428.80325172867373,284.36324494292677,180.1612162649834,95.20095557896511,A,106,10.02274758715939
173,428.80325172867373,284.36324494292677,180.1612162649834,11,377.40040899531283,285.5168367628219,137.2462529551769,66.9722113345498,A,26,6.459769130183153
11,377.40040899531283,285.5168367628219,137.2462529551769,197,319.88562847400925,314.32077927344943,144.17210522634116,64.69609348524259,A,9,4.912246385642255
167,434.74977200877083,570.1665421699095,514.9587750955502,112,516.3323513610264,560.4938426145762,565.0404225612451,96.21564209281655,A,3,4.121845740093248
112,516.3323513610264,560.4938426145762,565.0404225612451,48,529.2299135691077,534.7798211301568,539.9871580161241,38.1473993370495,A,2,2.9554507923902746
48,529.2299135691077,534.7798211301568,539.9871580161241,102,519.1008561242875,518.0025246047243,552.9838548721752,23.515731172788335,A,1,2.2021131062126535
134,324.71668423055195,567.1995615369192,6.631368609389687,156,287.4152233890874,495.3621294515933,62.09005067820392,98.12074727768302,A,2,3.742809392755121
156,287.4152233890874,495.3621294515933,62.09005067820392,199,252.96010941523818,498.9687667489256,11.381962246025079,61.412319154963654,A,1,2.7993930146052897
