From Index,From X,From Y,From Z,To Index,To X,To Y,To Z,Weight,Tree,Descendants,Width
168,319.45489042191355,72.33640000673932,136.77030626652186,106,366.73690612556675,84.75833551308642,208.28341543530388,86.62573678596038,B,48,8.0301201738898
94,362.65369490725686,241.26950973498816,51.37122449492559,110,279.5659160080557,212.8776981554737,49.648036356273906,87.82165646655943,B,122,10.173967916727626
21,325.3877004276598,373.7943837836934,52.34631042656286,31,259.40671658609136,418.41959817810545,12.484528490376178,89.07222713942129,B,118,10.125257568084784
31,259.40671658609136,418.41959817810545,12.484528490376178,89,262.29016829249383,479.4215217028156,74.12359346340327,86.76936843268363,B,115,9.994614994257978
89,262.29016829249383,479.4215217028156,74.12359346340327,188,307.04734280253604,463.57240698997583,81.64496485683313,48.0725507430283,B,114,8.60400203563503
89,262.29016829249383,479.4215217028156,74.12359346340327,60,286.9246020864462,542.4545235826691,89.10804963915328,69.31485108703052,B,114,9.428286834141229
60,286.9246020864462,542.4545235826691,89.10804963915328,105,249.31885879438317,586.0059094572406,101.00850156158326,58.75828363815977,B,2,3.2924923475804393
188,307.04734280253604,463.57240698997583,81.64496485683313,40,367.25806913900925,458.05606554719844,46.53279567290618,69.91871004015793,B,110,9.364757225595994
40,367.25806913900925,458.05606554719844,46.53279567290618,136,421.66748037576133,500.9011707563566,33.829171187844096,70.40929730207014,B,2,3.4448078441994228
188,307.04734280253604,463.57240698997583,81.64496485683313,165,350.84857634870735,448.27298197647696,146.4424680977449,79.69527521858426,B,110,9.67623294467785
165,350.84857634870735,448.27298197647696,146.4424680977449,116,334.0456609465354,497.80948080401373,174.63765860947123,59.42366069248547,B,106,8.908740668066132
116,334.0456609465354,497.80948080401373,174.63765860947123,24,330.99175069537074,508.9626094846686,192.39279921697567,21.18876271002315,B,101,6.801531954838082
24,330.99175069537074,508.9626094846686,192.39279921697567,112,306.07991483671356,553.2140461328611,221.28423076414995,58.42520028312038,B,100,8.742790112925109
112,306.07991483671356,553.2140461328611,221.28423076414995,41,307.2564588639247,586.8276073507013,194.83631436192027,42.78724150506538,B,99,8.067470216521064
112,306.07991483671356,553.2140461328611,221.28423076414995,192,288.4732367813272,573.8439766305805,273.88723629625093,59.18331974042183,B,99,8.749004284133477
60,286.9246020864462,542.4545235826691,89.10804963915328,135,320.2691345941435,523.5346989634637,14.183526717994743,84.16354167180457,B,2,3.601956798097179
165,350.84857634870735,448.27298197647696,146.4424680977449,182,422.2333295695896,491.7083439899985,124.67336798115556,86.34991248135705,B,106,9.781195553333854
106,366.73690612556675,84.75833551308642,208.28341543530388,157,362.4681357410795,155.63997182318369,264.25048682281647,90.4142789955619,B,44,7.94186362014934
157,362.4681357410795,155.63997182318369,264.25048682281647,175,318.33337198712195,100.69474434660401,309.5211419929212,83.76328320691148,B,43,7.746946144357903
144,350.6725000031738,40.40775056110692,111.62469735418705,59,407.90514294737187,72.25923602370428,179.0310207707765,93.98779165984257,B,2,3.7027582674505886
144,350.6725000031738,40.40775056110692,111.62469735418705,72,443.95745495012795,24.72921336105689,117.80231989727876,94.79484357534186,B,2,3.71068148681532
157,362.4681357410795,155.63997182318369,264.25048682281647,137,288.0192672533877,216.80455125398373,259.67353247695473,96.46081228731377,B,43,8.025181116684431
137,288.0192672533877,216.80455125398373,259.67353247695473,133,311.9299438258918,243.68922834154014,306.1838686909169,58.802361270555096,B,34,6.686801339017779
133,311.9299438258918,243.68922834154014,306.1838686909169,52,315.51115944972753,230.9183876020193,355.78405460809586,51.34294422369377,B,33,6.415768387491044
